ride_id,train_name,origin_station,destination_station,departure_time_origin,day_of_week,hour_of_day,delay_at_dest
-1029224351861462659-2504180740,ICE 2570,Hildesheim Hbf,Wolfsburg Hbf,2025-04-18 10:37:00,4,10,9
-1029224351861462659-2504180740,ICE 2570,Hildesheim Hbf,Berlin-Spandau,2025-04-18 10:37:00,4,10,19
-1029224351861462659-2504180740,ICE 2570,Hildesheim Hbf,Berlin Hbf,2025-04-18 10:37:00,4,10,18
-1029224351861462659-2504180740,ICE 2570,Hildesheim Hbf,Berlin Südkreuz,2025-04-18 10:37:00,4,10,16
-1029224351861462659-2504180740,ICE 2570,Braunschweig Hbf,Wolfsburg Hbf,2025-04-18 11:03:00,4,11,9
-1029224351861462659-2504180740,ICE 2570,Braunschweig Hbf,Berlin-Spandau,2025-04-18 11:03:00,4,11,19
-1029224351861462659-2504180740,ICE 2570,Braunschweig Hbf,Berlin Hbf,2025-04-18 11:03:00,4,11,18
-1029224351861462659-2504180740,ICE 2570,Braunschweig Hbf,Berlin Südkreuz,2025-04-18 11:03:00,4,11,16
-1029224351861462659-2504180740,ICE 2570,Wolfsburg Hbf,Berlin-Spandau,2025-04-18 11:20:00,4,11,19
-1029224351861462659-2504180740,ICE 2570,Wolfsburg Hbf,Berlin Hbf,2025-04-18 11:20:00,4,11,18
-1029224351861462659-2504180740,ICE 2570,Wolfsburg Hbf,Berlin Südkreuz,2025-04-18 11:20:00,4,11,16
-1029224351861462659-2504180740,ICE 2570,Berlin-Spandau,Berlin Hbf,2025-04-18 12:24:00,4,12,18
-1029224351861462659-2504180740,ICE 2570,Berlin-Spandau,Berlin Südkreuz,2025-04-18 12:24:00,4,12,16
-1029224351861462659-2504180740,ICE 2570,Berlin Hbf,Berlin Südkreuz,2025-04-18 12:37:00,4,12,16
-1029224351861462659-2504190740,ICE 2570,Frankfurt(Main)Hbf,Kassel-Wilhelmshöhe,2025-04-19 07:40:00,5,7,7
-1029224351861462659-2504190740,ICE 2570,Frankfurt(Main)Hbf,Göttingen,2025-04-19 07:40:00,5,7,7
-1029224351861462659-2504190740,ICE 2570,Frankfurt(Main)Hbf,Hildesheim Hbf,2025-04-19 07:40:00,5,7,8
-1029224351861462659-2504190740,ICE 2570,Frankfurt(Main)Hbf,Braunschweig Hbf,2025-04-19 07:40:00,5,7,6
-1029224351861462659-2504190740,ICE 2570,Frankfurt(Main)Hbf,Wolfsburg Hbf,2025-04-19 07:40:00,5,7,8
-1029224351861462659-2504190740,ICE 2570,Frankfurt(Main)Hbf,Berlin-Spandau,2025-04-19 07:40:00,5,7,6
-1029224351861462659-2504190740,ICE 2570,Frankfurt(Main)Hbf,Berlin Hbf,2025-04-19 07:40:00,5,7,8
-1029224351861462659-2504190740,ICE 2570,Frankfurt(Main)Hbf,Berlin Ostbahnhof,2025-04-19 07:40:00,5,7,15
-1029224351861462659-2504190740,ICE 2570,Kassel-Wilhelmshöhe,Göttingen,2025-04-19 09:49:00,5,9,7
-1029224351861462659-2504190740,ICE 2570,Kassel-Wilhelmshöhe,Hildesheim Hbf,2025-04-19 09:49:00,5,9,8
-1029224351861462659-2504190740,ICE 2570,Kassel-Wilhelmshöhe,Braunschweig Hbf,2025-04-19 09:49:00,5,9,6
-1029224351861462659-2504190740,ICE 2570,Kassel-Wilhelmshöhe,Wolfsburg Hbf,2025-04-19 09:49:00,5,9,8
-1029224351861462659-2504190740,ICE 2570,Kassel-Wilhelmshöhe,Berlin-Spandau,2025-04-19 09:49:00,5,9,6
-1029224351861462659-2504190740,ICE 2570,Kassel-Wilhelmshöhe,Berlin Hbf,2025-04-19 09:49:00,5,9,8
-1029224351861462659-2504190740,ICE 2570,Kassel-Wilhelmshöhe,Berlin Ostbahnhof,2025-04-19 09:49:00,5,9,15
-1029224351861462659-2504190740,ICE 2570,Göttingen,Hildesheim Hbf,2025-04-19 10:09:00,5,10,8
-1029224351861462659-2504190740,ICE 2570,Göttingen,Braunschweig Hbf,2025-04-19 10:09:00,5,10,6
-1029224351861462659-2504190740,ICE 2570,Göttingen,Wolfsburg Hbf,2025-04-19 10:09:00,5,10,8
-1029224351861462659-2504190740,ICE 2570,Göttingen,Berlin-Spandau,2025-04-19 10:09:00,5,10,6
-1029224351861462659-2504190740,ICE 2570,Göttingen,Berlin Hbf,2025-04-19 10:09:00,5,10,8
-1029224351861462659-2504190740,ICE 2570,Göttingen,Berlin Ostbahnhof,2025-04-19 10:09:00,5,10,15
-1029224351861462659-2504190740,ICE 2570,Hildesheim Hbf,Braunschweig Hbf,2025-04-19 10:37:00,5,10,6
-1029224351861462659-2504190740,ICE 2570,Hildesheim Hbf,Wolfsburg Hbf,2025-04-19 10:37:00,5,10,8
-1029224351861462659-2504190740,ICE 2570,Hildesheim Hbf,Berlin-Spandau,2025-04-19 10:37:00,5,10,6
-1029224351861462659-2504190740,ICE 2570,Hildesheim Hbf,Berlin Hbf,2025-04-19 10:37:00,5,10,8
-1029224351861462659-2504190740,ICE 2570,Hildesheim Hbf,Berlin Ostbahnhof,2025-04-19 10:37:00,5,10,15
-1029224351861462659-2504190740,ICE 2570,Braunschweig Hbf,Wolfsburg Hbf,2025-04-19 11:03:00,5,11,8
-1029224351861462659-2504190740,ICE 2570,Braunschweig Hbf,Berlin-Spandau,2025-04-19 11:03:00,5,11,6
-1029224351861462659-2504190740,ICE 2570,Braunschweig Hbf,Berlin Hbf,2025-04-19 11:03:00,5,11,8
-1029224351861462659-2504190740,ICE 2570,Braunschweig Hbf,Berlin Ostbahnhof,2025-04-19 11:03:00,5,11,15
-1029224351861462659-2504190740,ICE 2570,Wolfsburg Hbf,Berlin-Spandau,2025-04-19 11:20:00,5,11,6
-1029224351861462659-2504190740,ICE 2570,Wolfsburg Hbf,Berlin Hbf,2025-04-19 11:20:00,5,11,8
-1029224351861462659-2504190740,ICE 2570,Wolfsburg Hbf,Berlin Ostbahnhof,2025-04-19 11:20:00,5,11,15
