feature,importance
train_name,7025018.16464296
delay_minutes,3728995.1896175444
start_station,1021431.8496054411
end_station,1020523.2160584033
temperature,992246.1288328171
month,670170.6044956744
dayofweek,616261.7109312117
humidity,460071.9830901623
wind_speed,444520.1879327893
hour,163550.34587687254
precipitation,93462.89970201254
snow_amount,16686.60993629694
