feature,importance
train_name,3661924114.8726273
temperature,763474915.7923126
dayofweek,605509948.1478577
end_station,585986273.441803
start_station,556307750.0274582
month,415293066.57218933
humidity,397196684.72927094
wind_speed,381243954.86540985
hour,235634774.55490875
precipitation,65639515.70715332
snow_amount,11195695.729881287
