feature,importance
train_name,1925165818.1383686
temperature,501619680.2899456
dayofweek,361779596.2309265
start_station,350211455.06402206
end_station,342345185.7408695
humidity,321342387.8193798
wind_speed,300693804.84023094
month,201859793.59300613
hour,138255375.50177956
precipitation,37749082.378391266
snow_amount,13180411.775951385
