feature,importance
train_name,3276421.923205197
delay_minutes,1353211.286579907
temperature,424277.850238204
start_station,415264.88681846857
end_station,404621.2390472889
dayofweek,293579.4274817705
humidity,243669.70988541842
wind_speed,224443.94679570198
month,199449.2583167553
hour,78133.9557723999
precipitation,29744.66622340679
snow_amount,9784.06555968523
